code,iata,name,city,region,lat,lon,longest_rwy_ft
00CA,,Goldstone (GTS) Airport,Barstow,US-CA,35.3547,-116.8853,6000
01MT,,Crystal Lakes Resort Airport,Fortine,US-MT,48.7891,-114.88,5000
04CA,,Gray Butte Field,Palmdale,US-CA,34.5666,-117.6707,8000
04TT,,4D Ranch Airport,Utopia,US-TX,29.7131,-99.5456,5134
04WN,,Stillwater Creek Airport,Royal City,US-WA,46.9584,-119.6386,4100
05CL,,Pope Valley Airport,Pope Valley,US-CA,38.6107,-122.391,3700
06FA,,William P Gwinn Airport,Jupiter,US-FL,26.9084,-80.3289,7003
06TE,,Ainsworth Airport,Cleveland,US-TX,30.3127,-95.0269,3500
07FA,OCA,Ocean Reef Club Airport,Key Largo,US-FL,25.3254,-80.2748,4500
07K,,Central City Municipal - Larry Reineke Field,Central City,US-NE,41.1126,-98.0517,3700
07MT,,Glasgow Industrial Airport,Glasgow,US-MT,48.4211,-106.528,13500
08F,,City of Coalgate Airport,Coalgate,US-OK,34.5318,-96.2331,3862
08MS,,Midsouth Airpark,Coldwater,US-MS,34.6615,-89.8696,3725
09FA,,Placid Lakes Airport,Lake Placid,US-FL,27.2456,-81.4133,4800
09TS,,Pitcock Rosillos Mountain Ranch Airport,Marathon,US-TX,29.4824,-103.165,4083
0AZ2,,Western Sky Airport,Salome,US-AZ,33.7782,-113.6406,3500
0CO2,CSE,Crested Butte Airpark,Crested Butte,US-CO,38.8519,-106.9283,4000
0ID2,,Flying Joseph Ranch Airport,May,US-ID,44.4429,-113.773,7507
0NE6,,Frager Field,Fairfield,US-NE,40.4333,-98.0706,3500
0OK3,,McKinley Ranch Airport,Geary,US-OK,35.6145,-98.5344,5000
0R7,,The Red River Airport,Coushatta,US-LA,31.9907,-93.3074,5000
0TA7,,Alta Vista Ranch Airport,Marfa,US-TX,30.1532,-103.8998,5200
0TE5,,Santa Maria Ranch Airport,Laredo,US-TX,27.4338,-99.1859,5992
0TE7,JCY,LBJ Ranch Airport,Stonewall,US-TX,30.2518,-98.6225,6291
0TX1,,Pecan Plantation Airport,Granbury,US-TX,32.3533,-97.6762,3500
0XA4,,Seven Cs Ranch Airport,Encinal,US-TX,27.9969,-98.8822,5005
0XA5,,74 Ranch Airport,Campbellton,US-TX,28.6849,-98.3828,3800
0XS7,,Anacacho Ranch Airport,Brackettville,US-TX,29.1937,-100.28,6000
KHBE,,Himsel Army Airfield,Nineveh,US-IN,39.3393,-86.0298,4039
12NC,,Atlantic Field Marine Corps Outlying Field,Atlantic,US-NC,34.8921,-76.349,3678
13NC,,Oak Grove Marine Corps Outlying Field,Pollocksville,US-NC,35.025,-77.2559,4200
14AZ,,Ruby Star Airpark,Sahuarita,US-AZ,31.9095,-111.1203,4300
14MS,,Rose Field,Hickory,US-MS,32.3453,-89.0342,3500
14NC,,Camp Davis Marine Corps Outlying Field,Holly Ridge,US-NC,34.5165,-77.5451,5000
KUSW,,Boggs Field,Spencer,US-WV,38.8238,-81.3488,4549
14TS,,O S Wyatt Airport,Realitos,US-TX,27.4217,-98.6045,6010
15FL,,Cannon Creek Airpark,Lake City,US-FL,30.1506,-82.6679,3500
17FL,,Jumbolair-Greystone Airport,Ocala,US-FL,29.2774,-82.1207,7380
17XS,,Quahadi Ranch Airport,Dublin,US-TX,32.1778,-98.435,6295
18AZ,,Sky Ranch At Carefree Airport,Carefree,US-AZ,33.8185,-111.8983,4029
18TA,,West Kerr Ranch Airport,Junction,US-TX,30.1363,-99.7437,4500
18TE,,Alert Field,Big Sandy,US-TX,32.5852,-95.0639,5093
19MT,,N Bar Ranch Airport,Grass Range,US-MT,46.8381,-108.9368,6000
1AZ0,,Bishop Airfield,Mobile,US-AZ,33.1119,-112.269,4500
1CA1,,Belridge Strip,McKittrick,US-CA,35.4679,-119.722,5600
1CO5,,Melon Field,Rocky Ford,US-CO,38.0162,-103.6946,3780
1GA0,,Eagle Neck Airport,Shellman Bluff,US-GA,31.6394,-81.329,3744
1I9,,Delphi Municipal Airport,Delphi,US-IN,40.5428,-86.6817,4001
1K1,,Lloyd Stearman Field,Benton,US-KS,37.7779,-97.1135,5106
1K5,,Waynoka Municipal Airport,Waynoka,US-OK,36.5715,-98.8547,3532
1K8,,South Grand Lake Regional Airport,Ketchum,US-OK,36.5417,-95.0211,4730
1M7,,Fulton Airport,Fulton,US-KY,36.5259,-88.9156,4001
1MI3,,Black River Ranch Airport,Onaway,US-MI,45.1958,-84.3217,3900
1MS8,,Columbus Air Force Base Auxiliary Field (Gunshy),Shuqualak,US-MS,32.9401,-88.5792,6302
1MY1,,Carlson Agricultural Airport,Wendell,US-MN,45.9853,-96.1944,4500
1TE1,,Briscoes Catarina Ranch Airport,Catarina,US-TX,28.2503,-99.817,4000
KTX2,NIR,Chase Field Industrial Airport,Beeville,US-TX,28.3624,-97.6619,8000
1XS8,,Pinon Ranch Airport,Brackettville,US-TX,29.6338,-100.3757,4500
20GA,,Earl L. Small Jr. Field/Stockmar Airport,Villa Rica,US-GA,33.7565,-84.8847,4500
21AZ,,White Mountain Lake Airport,Show Low,US-AZ,34.3509,-109.964,4000
23ND,,Minnkota Private Airport,Center,US-ND,47.0822,-101.267,4000
24CL,,Boswell Airport,Corcoran,US-CA,36.0884,-119.5414,6815
25TA,,Ferris Airport,Baytown,US-TX,29.8366,-94.9674,3600
25TS,,Miller Airfield,Dalhart,US-TX,36.0943,-102.4175,6500
25XA,,Headwaters Airport,Stonewall,US-TX,30.0929,-98.7013,4400
27AZ,,Eagle Roost Airpark,Aguila,US-AZ,33.9193,-113.1678,3906
28TA,,Duval County Ranch Co Airport,Freer,US-TX,27.8336,-98.717,10280
2CL9,,Mustang Airport,Galt,US-CA,38.3344,-121.304,4000
2CN4,,Wonderful Pistachios & Almonds Airport,Lost Hills,US-CA,35.6646,-119.8935,5002
KI20,OTN,Ed-Air Airport,Oaktown,US-IN,38.8518,-87.4999,4572
2OR1,,Big Muddy Ranch Airport,Fossil,US-OR,44.8287,-120.4953,4185
2TA6,,Pyramid Ranch Airport,Fairfield,US-TX,31.8627,-96.1975,4700
2TA8,,El Coyote Ranch Airport,Encino,US-TX,26.8584,-98.222,5499
2TS8,,Bailey Airport,Stockdale,US-TX,29.2205,-97.8717,4200
2TX4,,Lewis Ranch Airport,Encinal,US-TX,27.9836,-99.3767,4800
2VG2,,Upperville Airport,Upperville,US-VA,38.9718,-77.8697,5100
2XA1,,Great Horizon Ranch Airport,Cotulla,US-TX,28.1403,-98.936,5500
2XS1,,Harris Ranch Airport,Johnson City,US-TX,30.2197,-98.3026,4600
2XS2,,Indio-Faith Airport,Carrizo Springs,US-TX,28.2628,-100.162,5164
2XS3,,Glad Oaks Airport,Palestine,US-TX,32.0198,-95.695,4250
09GE,,Elliott Field,Dawsonville,US-GA,34.459,-84.1813,5619
31VA,,Aberdeen Field,Smithfield,US-VA,37.0238,-76.5886,5921
KW11,,Sullivan Airport,Sullivan,US-WI,43.0074,-88.6022,4558
33NR,,Skyline Peak Airport,Mars Hill,US-NC,35.939,-82.5155,3500
36MI,,Tecumseh Mills Airport,Tecumseh,US-MI,42.0344,-83.8793,4278
37XA,,Skydive Houston Airport,Waller,US-TX,29.9934,-95.9303,4190
38XA,,Walk-Air Airport,Tyler,US-TX,32.4081,-95.3894,3550
38XS,,San Rafael Ranch Airport,Santa Elena,US-TX,26.8152,-98.4793,6000
39TE,,Seminole Spraying Service Airport,Seminole,US-TX,32.7182,-102.738,4000
3AZ5,,Hualapai Airport,Peach Springs,US-AZ,35.5722,-113.292,4790
3KS9,,Tri Rotor Airport,Ulysses,US-KS,37.7269,-101.1953,3800
3LA4,,Little Pecan Island Airport,Grand Chenier,US-LA,29.7997,-92.8036,4002
3NJ6,,Inductotherm Airport,Rancocas,US-NJ,40.0151,-74.8429,4002
3OL8,,Harrison Airport,Welch,US-OK,36.8779,-95.1491,4600
3TA0,,Four Square Ranch Airport,Rocksprings,US-TX,30.0969,-100.405,4093
3TA6,,Spring Ranch Airport,Brackettville,US-TX,29.5419,-100.253,4280
3WA3,,Angel Park Airport,Kahlotus,US-WA,46.6485,-118.583,3900
3XS8,,Ken Ada Ranch Airport,Waller,US-TX,30.137,-95.9176,4200
41TT,,Rancho Paraiso Airport,Mountain Home,US-TX,30.1814,-99.4075,5432
42XS,,Temple Ranch Airport,Freer,US-TX,27.9574,-98.4039,5000
46CN,,Crystal Airport,Llano,US-CA,34.4848,-117.8259,4500
47TX,,Armstrong Ranch Airport,Armstrong,US-TX,26.9339,-97.7625,4000
48TE,,4M Ranch Airfield,Langtry,US-TX,30.021,-101.5731,4998
48XS,,Maravillas Gap Ranch Airport,Marathon,US-TX,29.9266,-103.295,5000
49CN,,Rancho Tehama Airport,Red Bluff,US-CA,40.016,-122.39,3750
4AK6,,Wolf Lake Airport,Palmer,US-AK,61.6393,-149.2911,3800
4TE9,,Squirrel Creek Ranch Airport,D'Hanis,US-TX,29.2641,-99.3506,4400
4WA0,,B & G Farms Airport,Royal City,US-WA,46.9281,-119.7392,3700
50TX,,Kennedy Ranch Airport,Blanco,US-TX,30.137,-98.524,3500
50XS,,Hughes Ranch Airport,Quemado,US-TX,29.0433,-100.585,4608
55XS,,Frontier Airport,Brackettville,US-TX,29.1663,-100.418,4316
56FD,,North American Farms Airport,Malone,US-FL,30.9646,-85.0694,4400
56LA,,Old Hickory Ranch Airport,Keithville,US-LA,32.3453,-93.8183,3500
57AZ,,La Cholla Airpark,Oro Valley,US-AZ,32.4466,-111.0029,4670
57FA,,Lake X Airport,St Cloud,US-FL,28.2086,-81.1192,5100
59B,,Newton Field,Jackman,US-ME,45.6328,-70.2488,3601
59FD,,Big Cypress Airfield,Immokalee,US-FL,26.3261,-80.9879,5596
5AZ3,,Pegasus Airpark,Queen Creek,US-AZ,33.2087,-111.6172,5124
5G0,,Le Roy Airport,Le Roy,US-NY,42.9814,-77.9375,3854
5G2,,Indian Lake Airport,Central City,US-PA,40.0542,-78.847,4490
5K2,,Tribune Municipal Airport,Tribune,US-KS,38.4509,-101.7501,5007
5MS1,RFK,Rollang Field,Rolling Fork,US-MS,32.9535,-90.8451,3670
5NC5,,The Duchy Airport,Haw River,US-NC,35.9823,-79.2741,3500
5TE0,,Comanche Ranch Airport,Eagle Pass,US-TX,28.6273,-100.1614,5500
5TE4,,Perkins Prothro Cimarron Ranch Airport,Kerrick,US-TX,36.5084,-102.392,4300
5WA8,,Hogan's Corner Airport,Hoquiam,US-WA,47.0417,-124.1457,3700
63XS,,Byram Ranch Airport,Henly,US-TX,30.2241,-98.2886,4100
64OG,,Antone Ranch Airport,Mitchell,US-OR,44.4934,-119.8437,5069
68TS,,Bishop Field,Royse City,US-TX,32.8745,-96.285,4600
69TX,,Green Lake Ranch Airport,Bloomington,US-TX,28.5836,-96.8544,3898
6AL5,,Big Sky Farms Airport,Speed,US-AL,32.7395,-86.2252,4000
6CA6,,Eagle Ridge Ranch Airport,Railroad Flat,US-CA,38.3277,-120.477,4000
6FL3,,Payson Ranch Airport,Punta Gorda,US-FL,26.9373,-81.567,4000
6NE3,,Beaver Landing Airport,Tekamah,US-NE,41.8449,-96.124,4000
6TE6,,6666 Ranch Airport,Guthrie,US-TX,33.6426,-100.3473,6005
6WA4,,Ochoa Field,Othello,US-WA,46.8627,-119.1429,4500
72MI,,Northwoods Airport,Watersmeet,US-MI,46.2859,-89.2775,5000
72TA,,Pierce Field,Port O'Connor,US-TX,28.4586,-96.2919,6000
72TE,,Chaparrosa Ranch Airport,La Pryor,US-TX,28.8794,-99.9906,5200
73AZ,,Dunton Ranch Airport,Kingman,US-AZ,35.2017,-113.3618,4800
73OH,,Thompson Drag Raceway Airport,Thompson,US-OH,41.647,-81.0087,4000
74TE,,Flat Top Ranch Airport,Walnut Springs,US-TX,32.0599,-97.7947,4191
75TA,,Coleman Cattle Company Nr 1 Airport,Ackerly,US-TX,32.5343,-101.725,4725
75TX,,Leona Ranch Airport,Brackettville,US-TX,29.5097,-100.3732,4250
46XS,,Canadian River Ranch Airport,Adrian,US-TX,35.4027,-102.8076,4524
77NC,,Winnabow Airport,Winnabow,US-NC,34.1524,-78.1051,3500
77NV,,Flying Eagle Airport,Reno,US-NV,39.8436,-119.6865,4564
79AZ,,Sentiel Airport,Marana,US-AZ,32.3063,-111.2841,4025
79KY,,Lucas Field,Nicholasville,US-KY,37.8713,-84.6105,5488
7CO0,,Parkland Airport,Erie,US-CO,40.0717,-105.034,4200
7FL6,,Spruce Creek Airport,Daytona Beach,US-FL,29.0802,-81.0467,4002
7PA3,,Charles G. Kalko Airport,Honesdale,US-PA,41.7081,-75.2879,4000
KNGT,,Naval Outlying Landing Field Goliad,Goliad,US-TX,28.6155,-97.6163,8000
7TE2,,Cage Ranch Airport,Falfurrias,US-TX,27.1059,-98.2058,4100
7TE7,,Moore Field,Edinburg,US-TX,26.3837,-98.3336,5150
7TX5,,Mabee Ranch Airport,Midland,US-TX,32.2171,-102.16,6080
80FD,,Brady Ranch Airport,Indiantown,US-FL,27.1134,-80.6334,4600
81NM,,Diamond A Ranch Airport,Picacho,US-NM,33.3455,-105.1731,6000
82AZ,,Ridgeline Airpark,Green Valley,US-AZ,31.7452,-110.9521,4500
83TX,,Texas A And M Flight Test Station Airport,Bryan,US-TX,30.6335,-96.4836,7000
84TE,,W4 Ranch Airport,Morgan,US-TX,31.9881,-97.5432,4500
85TX,,Rutherford Ranch Airport,Buda,US-TX,30.0777,-97.9656,3800
88AZ,,Grapevine Airstrip,Roosevelt,US-AZ,33.6409,-111.0569,3800
89NY,AXB,Maxson Airfield,Alexandria Bay,US-NY,44.312,-75.9003,4280
KT89,,Lajitas International Airport,Lajitas,US-TX,29.278,-103.687,6501
89TS,,Carter Ranch Airport,Oakwood,US-TX,31.5668,-95.7666,5200
8D4,,Paul C. Miller-Sparta Airport,Sparta,US-MI,43.1274,-85.6792,4033
8FA8,,Flying H Airport,Lake Placid,US-FL,27.2381,-81.3882,3520
8GK,,Gallatin County Airport,Sparta,US-KY,38.6795,-84.9289,5000
8TA0,,John B Connally Ranch Airport,Floresville,US-TX,29.1358,-98.2764,4050
8TS9,,Strait Ranch Airport,Encinal,US-TX,28.1407,-99.5666,5000
8XS8,REE,Reese Airpark,Lubbock,US-TX,33.5903,-102.037,10500
91TX,,Paisano Ranch Airport,Calliham,US-TX,28.3969,-98.3628,4900
92CA,,Westlake Farms Airport,Stratford,US-CA,36.1208,-119.888,3600
93AZ,,Inde Motorsports Ranch Airport,Willcox,US-AZ,32.2247,-110.0074,3800
94TX,,River Bend Ranch Airport,Brady,US-TX,31.4377,-99.3156,3800
95TX,,Chupadera Ranch Airport,Carrizo Springs,US-TX,28.1925,-100.072,4000
96OR,,Cable Creek Ranch Airport,Ukiah,US-OR,45.1006,-118.817,4800
99CL,,El Mirage Field Adelanto Airport,El Mirage,US-CA,34.6244,-117.6007,3700
9G1,,Pittsburgh Northeast Airport,Tarentum,US-PA,40.6033,-79.826,3550
9MT0,,Pale Morning Dun Ranch Airport,Fort Smith,US-MT,45.403,-107.7746,3550
9OI5,,Transportation Research Center of Ohio Airport,East Liberty,US-OH,40.3081,-83.5417,3500
K9S7,,Winifred Airport,Winifred,US-MT,47.5554,-109.386,4400
9SD9,,Weelborg Airport,Dell Rapids,US-SD,43.8066,-96.7089,3500
9TE2,,JL Bar Ranch,Sonora,US-TX,30.5687,-100.4445,5301
9WN2,,Voyager Village Airstrip,Webster,US-WI,45.9666,-92.146,3500
TAPB,BBQ,Burton-Nibbs International Airport,Codrington,AG-10,17.6212,-61.7983,6100
AGGH,HIR,Honiara International Airport,Honiara,SB-GU,-9.428,160.055,7218
AGGM,MUA,Munda Airport,Munda,SB-WE,-8.328,157.263,4593
AL05,,Sehoy Airport,Hurtsboro,US-AL,32.2201,-85.468,5000
AL12,,Kershaw Airport,Montgomery,US-AL,32.3585,-86.125,4600
AL71,,Willow Point Airport,Our Town,US-AL,32.8037,-85.9805,4500
ANYN,INU,Nauru International Airport,Yaren,NR-14,-0.5479,166.9195,7054
AR-0100,,Chascomús Airport,Chascomús,AR-B,-35.5426,-58.0521,3934
SAE8,,El Corcovado Airport,Corcovado,AR-U,-43.5336,-71.4847,7431
AR-0143,,Estancia Don Roberto Airport,Villa Mercedes,AR-D,-34.0014,-65.3669,5085
AR-0246,,Las Ovejas Airport,Las Ovejas,AR-Q,-36.9997,-70.7419,3934
SAMI,,Aeroclub San Martín,San Martin,AR-M,-33.0619,-68.5086,4429
AR-0335,,Bahía Dorada Airport,Sierra Grande,AR-R,-41.8428,-65.0822,6138
AR-0382,,Villa Rumipal Airport,Villa Rumipal,AR-X,-32.185,-64.4883,4111
AR-0622,,Anillaco Airport,Anillaco,AR-F,-28.7951,-66.9147,6562
AR-0624,,Ingeniero Juárez Airport,Ingeniero Juárez,AR-P,-23.9048,-61.8201,4921
SAWO,,Ushuaia Aeroclub Airport,Ushuaia,AR-V,-54.8227,-68.3043,5299
SACT,,Chamical Airport,Gobernador Gordillo,AR-F,-30.3453,-66.2941,6726
AR79,,Flying G Ranch Airport,Tillar,US-AR,33.6935,-91.3796,3750
YSWR,,Swan Reach Airport,Swan Reach,AU-SA,-34.5561,139.5922,4933
YGRM,GYZ,Gruyere Airport,Cosmo Newbery,AU-WA,-28.0345,123.8151,6890
YSWS,WSI,Western Sydney International (Nancy-Bird Walton) Airport,Sydney,AU-NSW,-33.8835,150.713,12139
ZBAL,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN-15,38.7483,105.5842,7874
AYBK,BUA,Buka Airport,Buka Island,PG-NSB,-5.4223,154.6727,5125
AYDU,DAU,Daru Airport,Daru,PG-WPD,-9.0868,143.208,4593
AYGA,GKA,Goroka Airport,Goronka,PG-EHG,-6.0817,145.392,5400
AYGN,GUR,Gurney Airport,Gurney,PG-MBA,-10.3115,150.334,5546
AYGR,PNP,Girua Airport,Popondetta,PG-NPP,-8.8045,148.309,5485
AYHK,HKN,Hoskins Airport,Kimbe,PG-WBK,-5.4638,150.4073,6644
AYIQ,KIE,Aropa Airport,Kieta,PG-NSB,-6.3057,155.7282,5397
AYKV,KVG,Kavieng Airport,Kavieng,PG-NIK,-2.5794,150.808,5592
AYMD,MAG,Madang Airport,Madang,PG-MPM,-5.2071,145.789,5174
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG-WHM,-5.8282,144.2994,7185
AYMN,MDU,Mendi Airport,Mendi,PG-SHM,-6.1477,143.657,4411
AYMO,MAS,Momote Airport,Manus Island,PG-MRL,-2.0619,147.424,6136
AYNZ,LAE,Nadzab Tomodachi International Airport,Lae,PG-MPL,-6.568,146.7265,8000
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,PG-NCD,-9.4434,147.22,9022
AYTG,TGL,Tagula Airport,Sudest Island,PG-MBA,-11.3311,153.2029,8202
AYTK,RAB,Tokua Airport,Kokopo,PG-EBR,-4.3405,152.38,5643
AYVN,VAI,Vanimo Airport,Vanimo,PG-SAN,-2.6926,141.3028,5775
AYWD,WBM,Wapenamanda Airport,Wapenamanda,PG-EPW,-5.6353,143.8922,5052
AYWK,WWK,Wewak International Airport,Wewak,PG-ESW,-3.5838,143.669,5234
AZ67,,El Tiro Gliderport,Tucson,US-AZ,32.427,-111.39,5000
LBSP,,Sapareva Banya Airport,Sapareva Banya,BG-10,42.3113,23.2461,8380
LBIA,JAM,Bezmer Air Base,Bezmer,BG-28,42.4549,26.3522,8193
BGGH,GOH,Nuuk International Airport,Nuuk,GL-SE,64.1911,-51.6791,7217
BGSF,SFJ,Kangerlussuaq International Airport,Kangerlussuaq,GL-QA,67.0104,-50.7153,9219
BGTL,THU,Pituffik Space Base,Pituffik,GL-AV,76.5306,-68.7005,9997
BIAR,AEY,Akureyri International Airport,Akureyri,IS-6,65.6566,-18.072,8858
BIEG,EGS,Egilsstaðir Airport,Egilsstaðir,IS-7,65.2833,-14.4014,7054
BIHN,HFN,Hornafjörður Airport,Höfn,IS-8,64.2956,-15.2272,4921
BIHU,HZK,Húsavík Airport,Húsavík,IS-6,65.9523,-17.426,5266
BIIS,IFJ,Ísafjörður Airport,Ísafjörður,IS-4,66.0581,-23.1353,4593
BIKF,KEF,Keflavik International Airport,Reykjavík,IS-2,63.985,-22.6056,10056
BIKR,SAK,Sauðárkrókur Airport,Sauðárkrókur,IS-5,65.7317,-19.5728,6191
BIRF,OLI,Rif Airport,Rif,IS-3,64.9114,-23.8182,3937
BIRK,RKV,Reykjavík Domestic Airport,Reykjavík,IS-1,64.1287,-21.9376,5138
BISI,SIJ,Siglufjörður Airport,Siglufjörður,IS-6,66.1378,-18.9082,3556
BITN,THO,Þórshöfn Airport,Þórshöfn,IS-6,66.2185,-15.3347,3937
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,IS-8,63.4243,-20.2789,3937
BKPR,PRN,Priština Adem Jashari International Airport,Prishtina,XK-01,42.5728,21.0358,9974
BR-0039,,Cachoeira Alta Airport,Cachoeira Alta,BR-GO,-18.7872,-50.9365,4707
SDLR,,Luiz Ribeiro Maia Airport,Tapauá,BR-AM,-5.6361,-63.1857,3920
SDC9,,Tocantinópolis Airport,Tocantinópolis,BR-TO,-6.3334,-47.4719,3609
SIWH,,Francisco Lazaro da Silveira Airport,Coromandel,BR-MG,-18.4802,-47.2238,3909
SD09,,Cidade de Goiás Airport,Goiás,BR-GO,-15.9202,-50.193,4595
SN9Z,,Crixás Airport,Crixás,BR-GO,-14.5383,-49.9348,4004
SJZA,CJZ,Pedro Vieira Moreira Airport,Cajazeiras,BR-PB,-6.8827,-38.6158,5249
SWYQ,,Fazenda Brusque Airport,São Félix do Xingu,BR-PA,-9.2843,-51.7519,4564
SNDI,,Fazenda Dois Irmãos Airport,Naviraí,BR-MS,-22.7922,-54.1794,4921
SDJR,,JN Resort Airport,Sete Lagoas,BR-MG,-19.4307,-44.3048,4921
SNJL,,J Lem Airport,Luís Eduardo Magalhães,BR-BA,-12.1252,-45.7711,3937
SDQH,,Fazenda Santa Clara Airport,Castanheira,BR-MT,-10.6534,-58.6026,4921
SDWG,,Fazenda Santa Maria Airport,São Desidério,BR-BA,-13.0592,-45.133,6726
SBVC,VDC,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR-BA,-14.9079,-40.9148,6890
SJZZ,,Agropecuária Zé Reis Airport,Palmeirópolis,BR-TO,-13.0189,-48.4158,5020
SJCZ,,Fazenda Cascata Airport,Ipiranga do Norte,BR-MT,-11.6296,-55.9051,4265
SSOM,,Embaixador Airport,Bela Vista de Goiás,BR-GO,-16.8229,-49.044,4590
SIFC,,Coroa do Avião Airport,Igarassu,BR-PE,-7.8452,-34.8915,4326
SJVL,,Vale Europeu Airport,Guaramirim,BR-SC,-26.4226,-48.8769,3527
SNTG,,Gercino Coelho Airport,Formosa do Rio Preto,BR-BA,-11.2753,-45.2379,4925
SNWE,,Clube Estância Ouro Verde Airport,Santa Rita,BR-PB,-7.0463,-34.9129,3532
SSFW,,Fazenda Progresso Airport,Mucugê,BR-BA,-13.1572,-41.5072,4068
SD4P,,Fazenda Garrote II Airport,Britânia,BR-GO,-15.3333,-51.1581,4921
SSWN,,Fazenda Cayman Airport,São Félix do Araguaia,BR-MT,-11.5406,-51.7244,4593
SWNZ,,Fazenda Jamaica Airport,Serra Nova Dourada,BR-MT,-11.9321,-51.6157,4757
SSBJ,,Fazenda Savana Airport,Riachão das Neves,BR-BA,-11.5577,-45.5441,4593
SSGR,,Santa Helena de Goiás - Paulo Lopes Regional Airport,Santa Helena de Goiás,BR-GO,-17.7843,-50.5924,4593
SIZI,,Fazenda Agrícola Godoy Airport,Catalão,BR-GO,-17.6175,-47.5268,3937
SWNB,,Luís Eduardo Magalhães Airport,Luís Eduardo Magalhães,BR-BA,-12.0682,-45.7115,6562
BR-1699,,Assis Brasil Airport,Assis Brasil,BR-AC,-10.9252,-69.5573,4340
SSLS,,Ruy Barbosa Airport,Ruy Barbosa,BR-BA,-12.2716,-40.5301,4160
BR-1739,,Aeródromo de Campo Formoso,Campo Formoso,BR-BA,-10.4955,-40.4874,3937
SSPF,,Fly Village Airport,Altos,BR-PI,-5.0712,-42.5099,3937
SSLA,,Fazenda Alves  Airport,Sorriso,BR-MT,-12.6167,-55.611,3937
SSQD,,Fazenda Panamby Airport,Querência,BR-MT,-13.0469,-52.1772,4265
SJXE,,Deputado Moraes Souza Airport,Buriti dos Lopes,BR-PI,-3.1547,-41.8681,3937
SSRG,,Registro State Airport,Registro,BR-SP,-24.5317,-47.8405,4921
SSUR,,Fazenda Rio Fontoura Airport,São Félix do Araguaia,BR-MT,-11.5642,-52.2574,4921
SWIE,,Fazenda Planalto das Emas Airport,Jaborandi,BR-BA,-14.0985,-46.1355,4921
SSZD,,Zirondi Airport,Porto Velho,BR-RO,-8.7742,-63.7339,4593
SWPW,,CEA-Caçapava Airport,Caçapava,BR-SP,-23.1261,-45.6643,4528
SJXU,,Fazenda Coperbrás Airport,Brasília,BR-DF,-15.7515,-47.545,3904
SNB3,,Fazenda Maravilha Airport,Sorriso,BR-MT,-12.6818,-55.6765,3609
SD53,,Porto Primavera Airport,Rosana,BR-SP,-22.5257,-52.9722,4921
SND6,,Dionísio Cerqueira Airport,Dionísio Cerqueira,BR-SC,-26.2883,-53.6308,4514
BR-2149,AAI,Arraias Airport,Arraias,BR-TO,-13.0252,-46.8841,4921
BR-2152,ITN,Tertuliano Guedes de Pinho Airport,Itabuna,BR-BA,-14.8105,-39.2904,4993
SIBC,,Fazenda Bonança Airport,Pereira Barreto,BR-SP,-20.6764,-51.0308,4593
BR-2155,,Juazeiro Airport,Curaçá,BR-BA,-9.1556,-40.0917,4265
BR-2158,,Alagoinhas Airport,Alagoinhas,BR-BA,-12.1751,-38.3801,5184
BR-2160,,Fazenda Bananeira Airport,Altair,BR-SP,-20.58,-49.0748,4265
BR-2161,,Benedito Mutran Airport,Marabá,BR-PA,-5.7585,-49.1762,3609
BR-2163,,Fazenda Jopejó Airport,Chapada dos Guimarães,BR-MT,-14.9913,-55.8177,3937
SS8J,,Fazenda São Francisco Airport,Vila Rica,BR-MT,-10.0419,-51.5885,3786
BR-2165,,Itaú de Minas Airport,Itaú de Minas,BR-MG,-20.7553,-46.7502,3701
BR-2166,,Adustina Airport,Adustina,BR-BA,-10.5809,-38.0888,3609
BR-2167,,Amargosa Airport,Amargosa,BR-BA,-12.9936,-39.6399,3609
BR-2169,,Campo de Boi Airport,Ipixuna do Pará,BR-PA,-2.5233,-47.5174,4757
BR-2170,,Bambuí Airport,Bambuí,BR-MG,-20.0364,-45.9723,3937
BR-2171,LEP,Leopoldina Airport,Leopoldina,BR-MG,-21.4682,-42.7271,3937
BR-2172,,Belém de São Francisco Airport,Belém de São Francisco,BR-PE,-8.7696,-38.9496,3609
BR-2173,,Jaraguá Airport,Sacramento,BR-MG,-20.0403,-47.4215,3543
SSYD,,Nova Ponte Airport,Nova Ponte,BR-MG,-19.1984,-47.7287,4921
BR-2178,,Ouricuri Airport,Ouricuri,BR-PE,-7.8765,-40.0918,4593
BR-2179,,Freitas Melro Airport,Penedo,BR-AL,-10.2659,-36.5515,4921
BR-2181,,Rachid Saliba Airport,Boa Esperança,BR-MG,-21.0434,-45.8682,4101
BR-2182,,Russas - João de Deus Regional Airport,Russas,BR-CE,-4.9473,-38.0082,3527
BR-2183,,Fazenda Veredão Airport,Taiobeiras,BR-MG,-15.6554,-41.6541,4921
BR-2184,,Poções Airport,Poções,BR-BA,-14.5227,-40.345,3609
SD03,,Fazenda São Cristóvão Airport,Bodoquena,BR-MS,-20.675,-56.6296,4889
BR-2186,,Camapuã Airport,Camapuã,BR-MS,-19.5984,-54.0211,3937
