code,iata,name,city,region,lat,lon,longest_rwy_ft
SCBQ,,El Bosque Airport,Santiago,CL-RM,-33.5618,-70.6884,6024
SCCC,CCH,Chile Chico Airport,Chile Chico,CL-AI,-46.5831,-71.6863,3937
SCCF,CJC,El Loa Airport,Calama,CL-AN,-22.4982,-68.9036,9974
SCCH,YAI,Gral. Bernardo O´Higgins Airport,Chillan,CL-NB,-36.5825,-72.0314,5740
SCCI,PUQ,President Carlos Ibáñez International Airport,Punta Arenas,CL-MA,-53.0026,-70.8546,9154
SCCL,,Caldera Airport,Caldera,CL-AT,-27.0781,-70.7953,3936
SCCY,GXQ,Teniente Vidal Airport,Coyhaique,CL-AI,-45.5942,-72.1061,5072
SCDA,IQQ,Diego Aracena International Airport,Iquique,CL-TA,-20.5363,-70.1814,10991
SCDW,,Almirante Schroeders Airport,Isla Dawson,CL-MA,-53.6107,-70.4705,4905
SCEC,,Pelícano Airport,Estacion Chañaral,CL-CO,-29.1449,-70.8878,4199
SCEL,SCL,Comodoro Arturo Merino Benítez International Airport,Santiago,CL-RM,-33.393,-70.7858,12303
SCER,,Quintero Airport,Quintero,CL-VS,-32.7902,-71.5217,8038
SCES,ESR,Ricardo García Posada Airport,El Salvador,CL-AT,-26.3111,-69.7652,7546
SCFA,ANF,Andrés Sabella Gálvez International Airport,Antofagasta,CL-AN,-23.4453,-70.4452,9186
SCFM,WPR,Captain Fuentes Martinez Airport,Porvenir,CL-MA,-53.2537,-70.3192,8202
SCFX,,Isla San Felix Airport,Isla San Felix,CL-AT,-26.2939,-80.0962,6562
SCGE,LSQ,María Dolores Airport,Los Angeles,CL-BI,-37.4017,-72.4254,5577
SCGZ,WPU,Guardia Marina Zañartu Airport,Puerto Williams,CL-MA,-54.9311,-67.6263,4724
SCHA,,Chamonate Airport,Copiapo,CL-AT,-27.2969,-70.4131,5446
SCIE,CCP,Carriel Sur International Airport,Concepcion,CL-BI,-36.7724,-73.0628,8530
SCIL,,Aucó Airport,Illapel,CL-CO,-31.5778,-71.1108,3740
SCIP,IPC,Mataveri International Airport,Isla De Pascua,CL-VS,-27.1654,-109.421,10827
SCJO,ZOS,Cañal Bajo Carlos Hott Siebert Airport,Osorno,CL-LL,-40.6112,-73.061,6398
SCKD,,El Cardal Airport,Rio Bueno,CL-LR,-40.4674,-72.6848,4134
SCKP,CPP,Coposa Airport,Pica,CL-TA,-20.7505,-68.6835,10499
SCLL,VLR,Vallenar Airport,Vallenar,CL-AT,-28.5964,-70.756,4624
SCNT,PNT,Lieutenant Julio Gallardo Airport,Puerto Natales,CL-MA,-51.6707,-72.5291,5786
SCOH,,Villa O'Higgins Airport,Villa O'Higgins,CL-AI,-48.4692,-72.5643,4265
SCON,,Quellón Airport,Quellon,CL-LL,-43.1367,-73.635,3937
